listing_id,high,medium,low
7142618,0.0506846,0.46836,0.480956
7210040,0.0452784,0.104411,0.850311
7103890,0.00516812,0.29464,0.700192
7143442,0.0318446,0.398373,0.569782
6860601,0.0344246,0.224451,0.741125
6840081,0.00106574,0.0345396,0.964395
6922337,0.0349905,0.271842,0.693167
6913616,0.0607985,0.378464,0.560737
6937820,0.0517207,0.359262,0.589018
6893933,0.0424212,0.441437,0.516142
6832604,0.00346325,0.0315969,0.96494
6915282,0.0329629,0.455088,0.511949
7127565,0.047458,0.592138,0.360404
6827899,0.000743222,0.0110161,0.988241
6934855,0.000303956,0.00642845,0.993268
6861826,0.00400042,0.168207,0.827792
6871643,0.0593535,0.49187,0.448777
6842542,0.00121767,0.03018,0.968602
6934145,0.00472448,0.0559768,0.939299
6829365,0.104622,0.529391,0.365987
7167858,0.0191205,0.186123,0.794757
6859483,0.00639989,0.0501167,0.943483
6861377,0.0296982,0.206185,0.764116
6848960,0.096195,0.341764,0.562041
6918850,0.000494229,0.0158253,0.98368
6916867,0.133289,0.678699,0.188011
6895840,0.00778967,0.150423,0.841788
6813539,0.528622,0.326756,0.144621
7116900,0.0795254,0.345211,0.575264
6890328,0.00760856,0.0123666,0.980025
6879406,0.217726,0.12152,0.660754
6824924,0.0793772,0.472496,0.448127
6911302,0.00571517,0.015331,0.978954
6918742,0.147346,0.564522,0.288132
6910586,0.00205203,0.0744785,0.92347
6821750,0.0419628,0.226756,0.731282
6860647,0.113466,0.594508,0.292026
6932873,0.138795,0.562101,0.299103
6846053,0.00909745,0.113008,0.877894
6940365,0.0639534,0.176256,0.75979
6931867,0.0119469,0.231676,0.756377
6876383,0.0108333,0.0688833,0.920283
6910980,0.0429523,0.378056,0.578992
6880877,0.021655,0.104803,0.873542
6839552,0.262321,0.485415,0.252264
6838051,0.114232,0.468081,0.417687
6928201,0.361137,0.270462,0.3684
6945608,0.0604275,0.656984,0.282589
6816147,0.0713653,0.231329,0.697306
6868129,0.0312464,0.216939,0.751814
6849448,0.0331248,0.203377,0.763498
7113677,0.330746,0.552448,0.116806
6930856,0.00914766,0.117245,0.873607
6889594,0.142627,0.369928,0.487445
6842682,0.00898797,0.0633959,0.927616
6880366,0.126891,0.550934,0.322176
6835063,0.000222714,0.0043577,0.99542
6820479,0.456992,0.37551,0.167498
6882057,0.0159433,0.128498,0.855558
6834440,0.057525,0.452663,0.489812
6880846,0.000119946,0.0021955,0.997685
6847248,0.000843379,0.018201,0.980956
6868368,0.00117141,0.0199354,0.978893
6943505,0.00381519,0.0303692,0.965816
7174304,0.00295224,0.0265939,0.970454
6880747,0.0456444,0.20055,0.753806
6933565,0.086418,0.491971,0.421611
6888511,0.000346323,0.00525615,0.994398
6942704,0.113032,0.551604,0.335364
6840304,0.0315353,0.109401,0.859064
6856860,0.00215874,0.179796,0.818045
6884921,0.000101425,0.0030136,0.996885
6937417,0.00204531,0.0243425,0.973612
6831129,0.000511021,0.00677835,0.992711
6936660,0.0977727,0.319159,0.583068
6940667,0.0365573,0.148196,0.815247
7201307,0.000291378,0.00561349,0.994095
6825434,0.00604999,0.137144,0.856806
6848114,0.00299426,0.00963956,0.987366
6947758,0.521092,0.369904,0.109005
6897002,0.133125,0.43173,0.435145
6926661,0.000794934,0.0396441,0.959561
6867411,0.0870514,0.545374,0.367575
6910154,0.0259542,0.166848,0.807198
7157900,0.0451372,0.398357,0.556506
6922324,0.0275456,0.175928,0.796527
6863068,0.00221779,0.0497678,0.948014
6912109,0.00453337,0.0442282,0.951238
6918609,0.142299,0.52076,0.336941
6889300,0.281119,0.451916,0.266965
6837794,0.0824314,0.407517,0.510052
6943098,0.241138,0.5658,0.193063
6927601,0.0855994,0.558322,0.356078
6897826,0.000262676,0.00856196,0.991175
6882892,0.00136229,0.018701,0.979937
